06.01.2016 16:51:56 | arSave           - saveFile               | INFO     | arichter     | END : SAVE : //bigfoot/MPI/30_assets/studio/30_SHD/WORK/studio_SHD_v008_ar.ma
06.01.2016 16:51:57 | arSave           - saveFile               | INFO     | arichter     | END : SAVE : //bigfoot/MPI/30_assets/studio/30_SHD/WORK/studio_SHD_v008_ar.ma
06.01.2016 16:52:50 | arSave           - saveFile               | INFO     | arichter     | END : SAVE : //bigfoot/MPI/30_assets/studio/30_SHD/WORK/studio_SHD_v008_ar.ma
06.01.2016 16:52:52 | arSave           - saveFile               | INFO     | arichter     | END : SAVE : //bigfoot/MPI/30_assets/studio/30_SHD/WORK/studio_SHD_v008_ar.ma
06.01.2016 17:19:05 | arSave           - saveFile               | INFO     | arichter     | END : SAVE : //bigfoot/MPI/30_assets/studio/30_SHD/WORK/studio_SHD_v007_ar.ma
06.01.2016 17:19:07 | arSave           - saveFile               | INFO     | arichter     | END : SAVE : //bigfoot/MPI/30_assets/studio/30_SHD/WORK/studio_SHD_v007_ar.ma
06.01.2016 17:20:25 | arSave           - saveFile               | INFO     | arichter     | END : SAVE : //bigfoot/MPI/30_assets/studio/30_SHD/WORK/studio_SHD_v007_ar.ma
06.01.2016 17:26:50 | arSave           - saveFile               | INFO     | arichter     | END : SAVE : //bigfoot/MPI/30_assets/studio/30_SHD/WORK/studio_SHD_v007_ar.ma
07.01.2016 17:50:17 | arSave           - saveFile               | INFO     | arichter     | END : SAVE : //bigfoot/MPI/30_assets/studio/30_SHD/WORK/studio_SHD_v008_ar.ma
07.01.2016 17:50:28 | arSave           - saveFile               | INFO     | arichter     | END : SAVE : //bigfoot/MPI/30_assets/studio/30_SHD/WORK/studio_SHD_v008_ar.ma
08.01.2016 14:29:02 | arSave           - saveFile               | INFO     | arichter     | END : SAVE : //bigfoot/MPI/30_assets/studio/30_SHD/WORK/studio_SHD_v009_ar.ma
08.01.2016 14:29:06 | arSave           - saveFile               | INFO     | arichter     | END : SAVE : //bigfoot/MPI/30_assets/studio/30_SHD/WORK/studio_SHD_v009_ar.ma
08.01.2016 14:40:26 | arSave           - clicked_btnReport      | INFO     | arichter     | REPORT
08.01.2016 14:40:29 | arSave           - clicked_btnReport      | INFO     | arichter     | REPORT
08.01.2016 14:41:27 | arSave           - clicked_btnReport      | INFO     | arichter     | REPORT
08.01.2016 14:42:17 | arSave           - clicked_btnCancel      | INFO     | arichter     | END : CANCEL
08.01.2016 16:06:49 | arSave           - clicked_btnCancel      | INFO     | arichter     | END : CANCEL
08.01.2016 16:13:26 | arSave           - saveFile               | INFO     | arichter     | END : SAVE : //bigfoot/MPI/30_assets/studio/30_SHD/WORK/studio_SHD_v010_ar.ma
08.01.2016 16:19:20 | arSave           - saveFile               | INFO     | arichter     | END : SAVE : //bigfoot/MPI/30_assets/studio/30_SHD/WORK/studio_SHD_v010_ar.ma
08.01.2016 16:21:04 | arSave           - clicked_btnReport      | INFO     | arichter     | REPORT
08.01.2016 16:22:20 | arSave           - saveFile               | INFO     | arichter     | END : SAVE : //bigfoot/MPI/30_assets/studio/30_SHD/WORK/studio_SHD_v011_ar.ma
08.01.2016 16:22:23 | arSave           - saveFile               | INFO     | arichter     | END : SAVE : //bigfoot/MPI/30_assets/studio/30_SHD/WORK/studio_SHD_v011_ar.ma
09.01.2016 01:48:11 | arSave           - saveFile               | INFO     | arichter     | END : SAVE : //bigfoot/MPI/30_assets/studio/30_SHD/WORK/studio_SHD_v013_ar.ma
09.01.2016 01:48:11 | arSave           - saveFile               | INFO     | arichter     | PUBLISH
09.01.2016 01:51:02 | arSave           - clicked_btnCancel      | INFO     | arichter     | END : CANCEL
09.01.2016 01:51:19 | arSave           - saveFile               | INFO     | arichter     | END : SAVE : //bigfoot/MPI/30_assets/studio/30_SHD/WORK/studio_SHD_v013_ar.mb
09.01.2016 01:51:19 | arSave           - saveFile               | INFO     | arichter     | PUBLISH
09.01.2016 01:53:03 | arSave           - saveFile               | INFO     | arichter     | END : SAVE : //bigfoot/MPI/30_assets/studio/30_SHD/WORK/studio_SHD_v013_ar.mb
09.01.2016 01:53:07 | arSave           - saveFile               | INFO     | arichter     | END : SAVE : //bigfoot/MPI/30_assets/studio/30_SHD/WORK/studio_SHD_v013_ar.mb
09.01.2016 01:53:15 | arSave           - saveFile               | INFO     | arichter     | END : SAVE : //bigfoot/MPI/30_assets/studio/30_SHD/WORK/studio_SHD_v015_ar.mb
09.01.2016 01:53:15 | arSave           - saveFile               | INFO     | arichter     | PUBLISH
09.01.2016 01:56:01 | arSave           - saveFile               | INFO     | arichter     | END : SAVE : //bigfoot/MPI/30_assets/studio/30_SHD/WORK/studio_SHD_v016_ar.mb
09.01.2016 01:56:05 | arSave           - saveFile               | INFO     | arichter     | END : SAVE : //bigfoot/MPI/30_assets/studio/30_SHD/WORK/studio_SHD_v016_ar.mb
09.01.2016 01:56:09 | arSave           - saveFile               | INFO     | arichter     | END : SAVE : //bigfoot/MPI/30_assets/studio/30_SHD/WORK/studio_SHD_v018_ar.mb
09.01.2016 01:56:09 | arSave           - saveFile               | INFO     | arichter     | PUBLISH
09.01.2016 02:03:27 | arSave           - saveFile               | INFO     | arichter     | END : SAVE : M:/30_assets/studio/30_SHD/WORK/studio_SHD_v012_ar.mb
09.01.2016 02:03:31 | arSave           - saveFile               | INFO     | arichter     | END : SAVE : M:/30_assets/studio/30_SHD/WORK/studio_SHD_v012_ar.mb
09.01.2016 02:10:26 | arSave           - saveFile               | INFO     | arichter     | END : SAVE : M:/30_assets/studio/30_SHD/WORK/studio_SHD_v013_ar.mb
09.01.2016 02:10:29 | arSave           - saveFile               | INFO     | arichter     | END : SAVE : M:/30_assets/studio/30_SHD/WORK/studio_SHD_v013_ar.mb
09.01.2016 02:11:23 | arSave           - saveFile               | ERROR    | arichter     | FAIL : SAVE : Couldnt save file - M:/30_assets/studio/30_SHD/WORK/studio_SHD_v014_ar.mb
Traceback (most recent call last):
  File "\\bigfoot\MPI\_pipeline\WORK\utilities\arSave.py", line 366, in saveFile
    cmds.file( save = True, type = s.FILE_FORMAT_CODE[os.environ["SOFTWARE"]] )
KeyError: 'maya'
09.01.2016 02:11:26 | arSave           - saveFile               | INFO     | arichter     | END : SAVE : M:/30_assets/studio/30_SHD/WORK/studio_SHD_v014_ar.mb
09.01.2016 02:12:05 | arSave           - saveFile               | INFO     | arichter     | END : SAVE : M:/30_assets/studio/30_SHD/WORK/studio_SHD_v015_ar.mb
09.01.2016 02:12:07 | arSave           - saveFile               | INFO     | arichter     | END : SAVE : M:/30_assets/studio/30_SHD/WORK/studio_SHD_v015_ar.mb
09.01.2016 02:12:20 | arSave           - saveFile               | INFO     | arichter     | END : SAVE : M:/30_assets/studio/30_SHD/WORK/studio_SHD_v017_ar.mb
09.01.2016 02:12:20 | arSave           - saveFile               | INFO     | arichter     | PUBLISH
09.01.2016 02:13:59 | arSave           - saveFile               | INFO     | arichter     | END : SAVE : M:/30_assets/studio/30_SHD/WORK/studio_SHD_v019_ar.mb
09.01.2016 02:13:59 | arSave           - saveFile               | INFO     | arichter     | PUBLISH
09.01.2016 02:14:33 | arSave           - saveFile               | INFO     | arichter     | END : SAVE : M:/30_assets/studio/30_SHD/WORK/studio_SHD_v021_ar.mb
09.01.2016 02:14:33 | arSave           - saveFile               | INFO     | arichter     | PUBLISH
09.01.2016 02:14:33 | arSave           - saveFile               | INFO     | arichter     | Publish : studio_SHD_v022_ar
09.01.2016 02:14:38 | arSave           - saveFile               | INFO     | arichter     | END : SAVE : M:/30_assets/studio/30_SHD/WORK/studio_SHD_v021_ar.mb
