11.06.2016 22:35:00 | arReport         - log                    | INFO     | arichter     | START
12.06.2016 15:08:32 | arReport         - log                    | INFO     | arichter     | START
12.06.2016 15:09:24 | arReport         - log                    | INFO     | arichter     | START
12.06.2016 15:10:35 | arReport         - log                    | INFO     | arichter     | START
12.06.2016 15:11:29 | arReport         - log                    | INFO     | arichter     | START
12.06.2016 15:11:54 | arReport         - clicked_openFile       | INFO     | arichter     | END  : LOAD : //bigfoot/revierkampf/40_shots/s900_animaticML/20_ANIM/WORK/s900_animaticML_ANIM_v001_ar.mb
12.06.2016 15:15:29 | arReport         - log                    | INFO     | arichter     | START
12.06.2016 15:15:37 | arReport         - log                    | INFO     | arichter     | START
12.06.2016 15:16:03 | arReport         - log                    | INFO     | arichter     | START
12.06.2016 15:16:29 | arReport         - log                    | INFO     | arichter     | START
12.06.2016 15:42:04 | arReport         - log                    | INFO     | arichter     | START
12.06.2016 15:43:03 | arReport         - log                    | INFO     | arichter     | START
12.06.2016 15:44:00 | arReport         - log                    | INFO     | arichter     | START
12.06.2016 15:45:44 | arReport         - log                    | INFO     | arichter     | START
12.06.2016 15:45:46 | libRender        - createScreenshot       | INFO     | arichter     | Screenshot
12.06.2016 15:49:20 | arReport         - log                    | INFO     | arichter     | START
12.06.2016 17:19:01 | arReport         - log                    | INFO     | arichter     | START
21.06.2016 17:21:53 | arReport         - log                    | INFO     | arichter     | START
21.06.2016 19:16:24 | arReport         - log                    | INFO     | arichter     | START
21.06.2016 19:16:31 | libRender        - createScreenshot       | INFO     | arichter     | Screenshot
21.06.2016 19:16:40 | libRender        - createScreenshot       | INFO     | arichter     | Screenshot
21.06.2016 19:17:00 | libRender        - createScreenshot       | INFO     | arichter     | Screenshot
21.06.2016 19:17:08 | libRender        - createScreenshot       | INFO     | arichter     | Screenshot
21.06.2016 19:17:13 | libRender        - createScreenshot       | INFO     | arichter     | Screenshot
21.06.2016 19:17:39 | arReport         - saveReport             | INFO     | arichter     | END : REPORT : 2016_06_21_19_17_39
30.06.2016 20:15:11 | arReport         - log                    | INFO     | arichter     | START
30.06.2016 20:15:14 | libRender        - createScreenshot       | INFO     | arichter     | Screenshot
30.06.2016 20:15:17 | arReport         - log                    | INFO     | arichter     | START
30.06.2016 20:36:58 | arReport         - log                    | INFO     | arichter     | START
30.06.2016 20:37:29 | libRender        - createScreenshot       | INFO     | arichter     | Screenshot
30.06.2016 20:37:34 | arReport         - saveReport             | INFO     | arichter     | END : REPORT : 2016_06_30_20_37_34
30.06.2016 20:37:37 | arReport         - log                    | INFO     | arichter     | START
30.06.2016 20:37:59 | arReport         - clicked_saveToHistory  | INFO     | arichter     | ReportToHistory : 2016_05_30_19_01_21
30.06.2016 20:38:13 | arReport         - log                    | INFO     | arichter     | START
30.06.2016 20:38:21 | arReport         - saveReport             | INFO     | arichter     | END : REPORT : 2016_06_30_20_38_21
30.06.2016 20:38:22 | arReport         - log                    | INFO     | arichter     | START
30.06.2016 20:38:30 | arReport         - clicked_saveToHistory  | INFO     | arichter     | ReportToHistory : 2016_05_30_19_01_21
